timestamp,length,direction,src_ip,dst_ip,relative_time
1760125299.913717,602,incoming,64.65.63.15,192.168.202.136,195.35443782806396
1760125299.9138591,66,outgoing,192.168.202.136,64.65.63.15,195.3545799255371
1760125300.0098078,2144,outgoing,192.168.202.136,64.65.63.15,195.45052862167358
1760125300.034017,66,incoming,64.65.63.15,192.168.202.136,195.47473788261414
1760125300.0351717,66,incoming,64.65.63.15,192.168.202.136,195.47589254379272
1760125300.7983725,3686,incoming,64.65.63.15,192.168.202.136,196.23909330368042
1760125300.79856,66,outgoing,192.168.202.136,64.65.63.15,196.2392807006836
1760125300.7990365,602,outgoing,192.168.202.136,64.65.63.15,196.23975729942322
1760125300.8236008,66,incoming,64.65.63.15,192.168.202.136,196.26432156562805
1760125301.0569983,1116,incoming,64.65.63.15,192.168.202.136,196.49771904945374
1760125301.06077,602,outgoing,192.168.202.136,64.65.63.15,196.50149083137512
1760125301.0823696,66,incoming,64.65.63.15,192.168.202.136,196.52309036254883
1760125301.5653296,602,incoming,64.65.63.15,192.168.202.136,197.00605034828186
1760125301.567283,602,outgoing,192.168.202.136,64.65.63.15,197.00800371170044
1760125301.5868623,66,incoming,64.65.63.15,192.168.202.136,197.02758312225342
1760125302.2086391,1116,incoming,64.65.63.15,192.168.202.136,197.64935994148254
1760125302.212174,602,outgoing,192.168.202.136,64.65.63.15,197.6528947353363
1760125302.2365458,66,incoming,64.65.63.15,192.168.202.136,197.6772665977478
1760125306.0115457,602,outgoing,192.168.202.136,64.65.63.15,201.45226645469666
1760125306.031557,66,incoming,64.65.63.15,192.168.202.136,201.47227787971497
1760125306.7878134,602,incoming,185.220.101.106,192.168.202.136,202.22853422164917
1760125306.7879877,66,outgoing,192.168.202.136,185.220.101.106,202.2287085056305
1760125309.1601079,602,outgoing,192.168.202.136,64.65.63.15,204.60082864761353
1760125309.1845422,66,incoming,64.65.63.15,192.168.202.136,204.62526297569275
1760125309.430686,602,outgoing,192.168.202.136,185.220.101.106,204.87140679359436
1760125309.4439273,602,incoming,64.65.63.15,192.168.202.136,204.8846480846405
1760125309.4455514,602,outgoing,192.168.202.136,64.65.63.15,204.88627219200134
1760125309.4469326,66,incoming,185.220.101.106,192.168.202.136,204.88765335083008
1760125309.4635746,66,incoming,64.65.63.15,192.168.202.136,204.90429544448853
1760125309.7343342,602,incoming,64.65.63.15,192.168.202.136,205.17505502700806
1760125309.7358549,602,outgoing,192.168.202.136,64.65.63.15,205.17657566070557
1760125309.7573216,66,incoming,64.65.63.15,192.168.202.136,205.1980423927307
1760125316.14489,602,outgoing,192.168.202.136,185.220.101.106,211.58561086654663
1760125316.144926,602,outgoing,192.168.202.136,64.65.63.15,211.58564686775208
1760125316.1673172,66,incoming,185.220.101.106,192.168.202.136,211.6080379486084
1760125316.1673212,66,incoming,64.65.63.15,192.168.202.136,211.60804200172424
1760125318.6875255,602,outgoing,192.168.202.136,185.220.101.106,214.12824630737305
1760125318.712359,66,incoming,185.220.101.106,192.168.202.136,214.1530797481537
1760125320.1886697,602,outgoing,192.168.202.136,64.65.63.15,215.62939047813416
1760125320.2066364,66,incoming,64.65.63.15,192.168.202.136,215.6473572254181
1760125320.471194,602,incoming,64.65.63.15,192.168.202.136,215.91191482543945
1760125320.4725494,602,outgoing,192.168.202.136,64.65.63.15,215.91327023506165
1760125320.4924948,66,incoming,64.65.63.15,192.168.202.136,215.93321561813354
1760125320.804876,602,incoming,64.65.63.15,192.168.202.136,216.24559688568115
1760125320.8064442,602,outgoing,192.168.202.136,64.65.63.15,216.2471649646759
1760125320.8235087,66,incoming,64.65.63.15,192.168.202.136,216.26422953605652
1760125321.167453,602,incoming,64.65.63.15,192.168.202.136,216.6081738471985
1760125321.2106738,66,outgoing,192.168.202.136,64.65.63.15,216.6513946056366
1760125322.021237,602,incoming,185.220.101.106,192.168.202.136,217.46195769309998
1760125322.021458,66,outgoing,192.168.202.136,185.220.101.106,217.4621787071228
1760125322.7087529,602,incoming,64.65.63.15,192.168.202.136,218.14947366714478
1760125322.70889,66,outgoing,192.168.202.136,64.65.63.15,218.14961075782776
1760125322.7103503,602,outgoing,192.168.202.136,64.65.63.15,218.15107107162476
1760125322.7271123,66,incoming,64.65.63.15,192.168.202.136,218.1678330898285
1760125323.0674646,602,incoming,64.65.63.15,192.168.202.136,218.50818538665771
1760125323.0684252,602,outgoing,192.168.202.136,64.65.63.15,218.50914597511292
1760125323.0886521,66,incoming,64.65.63.15,192.168.202.136,218.52937293052673
1760125323.419173,602,incoming,64.65.63.15,192.168.202.136,218.85989379882812
1760125323.4198008,602,outgoing,192.168.202.136,64.65.63.15,218.8605215549469
1760125323.4394214,66,incoming,64.65.63.15,192.168.202.136,218.88014221191406
1760125328.4042242,602,incoming,64.65.63.15,192.168.202.136,223.84494495391846
1760125328.4465275,66,outgoing,192.168.202.136,64.65.63.15,223.88724827766418
1760125328.4781444,602,incoming,185.220.101.106,192.168.202.136,223.91886520385742
1760125328.478354,66,outgoing,192.168.202.136,185.220.101.106,223.91907477378845
1760125331.2126298,602,outgoing,192.168.202.136,64.65.63.15,226.65335059165955
1760125331.2334366,66,incoming,64.65.63.15,192.168.202.136,226.67415738105774
1760125331.49943,602,incoming,64.65.63.15,192.168.202.136,226.94015073776245
1760125331.499594,66,outgoing,192.168.202.136,64.65.63.15,226.94031476974487
1760125331.5007038,602,outgoing,192.168.202.136,64.65.63.15,226.9414246082306
1760125331.5224128,66,incoming,64.65.63.15,192.168.202.136,226.9631335735321
1760125331.7967246,602,incoming,64.65.63.15,192.168.202.136,227.23744535446167
1760125331.798391,602,outgoing,192.168.202.136,64.65.63.15,227.2391119003296
1760125331.8195949,66,incoming,64.65.63.15,192.168.202.136,227.260315656662
1760125332.1115527,602,incoming,64.65.63.15,192.168.202.136,227.5522735118866
1760125332.15436,66,outgoing,192.168.202.136,64.65.63.15,227.59508085250854
1760125335.202713,602,outgoing,192.168.202.136,185.220.101.106,230.6434338092804
1760125335.2252095,66,incoming,185.220.101.106,192.168.202.136,230.66593027114868
1760125337.4436724,602,outgoing,192.168.202.136,64.65.63.15,232.88439321517944
1760125337.4608722,66,incoming,64.65.63.15,192.168.202.136,232.9015929698944
1760125342.2380702,602,outgoing,192.168.202.136,64.65.63.15,237.67879104614258
1760125342.2569985,66,incoming,64.65.63.15,192.168.202.136,237.69771933555603
1760125342.5204563,602,incoming,64.65.63.15,192.168.202.136,237.961177110672
