length,relative_time,label,is_outgoing
66,270.1318871974945,0,1
2736,270.13403725624084,0,0
66,270.13421511650085,0,1
1401,270.13601541519165,0,0
1401,270.1364915370941,0,0
66,270.1365797519684,0,1
2736,270.1387152671814,0,0
66,270.1390209197998,0,1
1401,270.1405658721924,0,0
1401,270.1406943798065,0,0
66,270.1407186985016,0,1
1401,270.14312410354614,0,0
1401,270.1431245803833,0,0
66,270.1432647705078,0,1
1401,270.14328813552856,0,0
66,270.14329409599304,0,1
1401,270.1454608440399,0,0
1138,270.1454961299896,0,1
1401,270.14575576782227,0,0
179,270.1464776992798,0,0
66,270.14650201797485,0,1
1406,270.148134469986,0,1
2736,270.1485171318054,0,0
66,270.14867401123047,0,1
2746,270.15236139297485,0,1
2736,270.15405535697937,0,0
66,270.15494680404663,0,1
1401,270.1559240818024,0,0
1401,270.15628147125244,0,0
66,270.15631461143494,0,1
1401,270.1600060462952,0,0
1401,270.16044187545776,0,0
1401,270.16044211387634,0,0
66,270.1604723930359,0,1
66,270.16067385673523,0,1
1401,270.16302728652954,0,0
1401,270.1631917953491,0,0
66,270.1633062362671,0,1
1406,270.165744304657,0,1
1401,270.16590452194214,0,0
1401,270.16650342941284,0,0
66,270.1665794849396,0,1
179,270.17001247406006,0,0
66,270.1700758934021,0,1
2736,270.1701099872589,0,0
1028,270.1701216697693,0,1
2736,270.17188692092896,0,0
66,270.1719181537628,0,1
1401,270.17428398132324,0,0
1401,270.17465233802795,0,0
66,270.17469668388367,0,1
2736,270.1777827739716,0,0
66,270.1782224178314,0,1
1401,270.1788392066956,0,0
66,270.1788635253906,0,1
66,270.17999148368835,0,0
1401,270.1799919605255,0,0
1406,270.1803982257843,0,1
1401,270.18055295944214,0,0
2736,270.18294763565063,0,0
66,270.1831691265106,0,1
2736,270.1879026889801,0,0
2736,270.1879029273987,0,0
66,270.1879699230194,0,1
66,270.1880161762237,0,1
2746,270.1881639957428,0,1
66,270.1896107196808,0,0
179,270.18961095809937,0,0
782,270.189647436142,0,1
1401,270.1899418830872,0,0
66,270.1899883747101,0,1
1401,270.1908230781555,0,0
66,270.1908929347992,0,1
1401,270.1928119659424,0,0
1401,270.1954596042633,0,0
2438,270.1955099105835,0,0
66,270.1955728530884,0,1
66,270.2093155384064,0,0
66,270.21053552627563,0,0
602,270.2105641365051,0,1
1514,270.23142528533936,0,0
1514,270.2314257621765,0,0
66,270.2315716743469,0,1
66,270.2318661212921,0,1
602,270.2320055961609,0,1
602,270.23203110694885,0,1
1401,270.2322165966034,0,0
1401,270.2324149608612,0,0
66,270.23249101638794,0,1
292,270.25379848480225,0,0
66,270.25894379615784,0,0
1514,270.26065135002136,0,0
66,270.263927936554,0,1
2736,270.2797613143921,0,0
66,270.2799527645111,0,1
2736,270.2830786705017,0,0
1401,270.28307914733887,0,0
66,270.2839775085449,0,1
1401,270.28617238998413,0,0
1401,270.2891962528229,0,0
2736,270.2891969680786,0,0
66,270.2892780303955,0,1
66,270.2892906665802,0,1
1401,270.2904064655304,0,0
1401,270.290406703949,0,0
66,270.290488243103,0,1
1401,270.2918858528137,0,0
518,270.29571866989136,0,0
1401,270.2980213165283,0,0
66,270.29805064201355,0,1
1401,270.29830598831177,0,0
1116,270.3089096546173,0,1
1116,270.31308937072754,0,1
1196,270.31880044937134,0,0
530,270.34291911125183,0,0
1406,270.3446083068848,0,1
2746,270.34807443618774,0,1
1406,270.3516263961792,0,1
1406,270.3570008277893,0,1
1401,270.36071014404297,0,0
1274,270.3607804775238,0,1
179,270.3639380931854,0,0
66,270.36965799331665,0,0
66,270.3818504810333,0,0
66,270.38388562202454,0,1
1406,270.3897202014923,0,1
1401,270.41393542289734,0,0
312,270.4139783382416,0,1
1401,270.41414046287537,0,0
